review_text,clean_text_v2,sentiment,cluster12,cluster_label
"I really liked this app until they started forcing me to upgrade to premium. It asked me to update and I did, turned out it was rhe worst decision I've made. I saw the responses to other ratings like this and I understand why it was done but couldn't you keep SOME nice looking trees?! I really hope you consider this over and make some nice looking trees for the free-version users. I won't delete this app yet but if this doesn't improve it is almost guaranteed that I will delete this.",i really liked this app until they started forcing me to upgrade to premium it asked me to update and i did turned out it was rhe worst decision i ve made i saw the responses to other ratings like this and i understand why it was done but couldn t you keep some nice looking trees i really hope you consider this over and make some nice looking trees for the free version users i won t delete this app yet but if this doesn t improve it is almost guaranteed that i will delete this,Negative,7,App stability & updates
Just like wunderlist except worse !! Laggy update of list from one device to any.,just like wunderlist except worse laggy update of list from one device to any,Negative,0,Task management
"It's a good app, looks polished and nice. Only problem I have is I have some tasks that repeat themselves even after I complete them, I've editted that they only come once a day but forever stay on the today tasks",it s a good app looks polished and nice only problem i have is i have some tasks that repeat themselves even after i complete them i ve editted that they only come once a day but forever stay on the today tasks,Positive,8,General task/app praise
"I absolutely loved this app, but for the last week or so I cannot scroll through the calendar function without it scrolling itself back up to the previous week. Horrendously annoying. If you could fix this that would be awesome as otherwise I would have given 5 stars...",i absolutely loved this app but for the last week or so i cannot scroll through the calendar function without it scrolling itself back up to the previous week horrendously annoying if you could fix this that would be awesome as otherwise i would have given stars,Neutral,10,Calendar integration
"Me gusta, apenas la estoy implementando en mi día a día",me gusta apenas la estoy implementando en mi d a a d a,Positive,3,Ease of use
it works. but WAY TOO EXPENSE and compkicated than most user will need. this free version has too many pieces missing and is just frustrating.,it works but way too expense and compkicated than most user will need this free version has too many pieces missing and is just frustrating,Negative,1,Premium / paywall friction
"Still exploring, sry",still exploring sry,Neutral,3,Ease of use
"Very fun app. Lots of customization and a very polished app. Some features are blocked unless you pay(calender and some icons). They aren't needed to enjoy the app though. Can't complain, it works great reminding and motivating me to get stuff done. :)",very fun app lots of customization and a very polished app some features are blocked unless you pay calender and some icons they aren t needed to enjoy the app though can t complain it works great reminding and motivating me to get stuff done,Positive,8,General task/app praise
Best to do app ever,best to do app ever,Positive,2,General positive
Good app that I can use for putting all my appointments in. One problem is that the notifications I set to make sure it reminds me don't go off at all. (I have a Droid Turbo 2). If you guys could fix that. I will change to 5 stars.,good app that i can use for putting all my appointments in one problem is that the notifications i set to make sure it reminds me don t go off at all i have a droid turbo if you guys could fix that i will change to stars,Neutral,10,Calendar integration
Hard to use,hard to use,Negative,3,Ease of use
Good app. Let's you to add yearview which is unavailable in Google Calendar. I am using it for four years.,good app let s you to add yearview which is unavailable in google calendar i am using it for four years,Positive,10,Calendar integration
"Muy buena app, funciona bien y es muy simple e intuitiva. El único pero que le puedo poner es que cuando mando a mis compañeros de trabajo algún quehacer, no siempre llega la notificación",muy buena app funciona bien y es muy simple e intuitiva el nico pero que le puedo poner es que cuando mando a mis compa eros de trabajo alg n quehacer no siempre llega la notificaci n,Positive,3,Ease of use
"I used to love this app but they made the ads much more intrusive, taking over the full screen with countdown timers any time you do anything. I guess I'll go back the regular Google calendar app. Reply to developer: that'd be great if you remove the terrible ads. For now I'm uninstalling and checking out other calendar apps.",i used to love this app but they made the ads much more intrusive taking over the full screen with countdown timers any time you do anything i guess i ll go back the regular google calendar app reply to developer that d be great if you remove the terrible ads for now i m uninstalling and checking out other calendar apps,Negative,6,Ads friction
"@Microsoft you've made wunderlist worse, where is the comments feature on each task, that was a win for wunderlist and you just killed it",microsoft you ve made wunderlist worse where is the comments feature on each task that was a win for wunderlist and you just killed it,Negative,0,Task management
"Great idea, such a usefully app. We did have the ability to sync with our calendar. The widgets were super cute and looked amazing on my phone. However the alarm system isn't the best. I would have troubles switching it off because it wasn't in the notification bar and there was no popup for me to turn it off. If have to switch off my phone which was really irritating. Thank you.",great idea such a usefully app we did have the ability to sync with our calendar the widgets were super cute and looked amazing on my phone however the alarm system isn t the best i would have troubles switching it off because it wasn t in the notification bar and there was no popup for me to turn it off if have to switch off my phone which was really irritating thank you,Neutral,10,Calendar integration
"It was great before, but lately it sends notifications whenever it likes. It doesn't notify according to schedule anymore. And now, it doesn't notify at all.",it was great before but lately it sends notifications whenever it likes it doesn t notify according to schedule anymore and now it doesn t notify at all,Negative,4,Reminders & notifications
It was fantastic until it started freezing every time I went to tasks. Is there a way to fix this?,it was fantastic until it started freezing every time i went to tasks is there a way to fix this,Positive,0,Task management
Enjoy the app!,enjoy the app,Positive,2,General positive
it's a nice app. it make my life displined,it s a nice app it make my life displined,Neutral,2,General positive
"The calendar is very good, but in the last month all holidays have disappeared, although the whole year that I have been using the free version, everything was fine. I would not like to change, but if you don't fix it, I will change the calendar ...",the calendar is very good but in the last month all holidays have disappeared although the whole year that i have been using the free version everything was fine i would not like to change but if you don t fix it i will change the calendar,Neutral,10,Calendar integration
"Granted, I just downloaded the app, but I have yet to find anything useful about it. Copy/pasting in and then reorganizing a basic task list took me about a half hour (seriously? No drag and drop?) and I haven't been able to figure out how to share a task list with someone else. If I can't share the task list, why is there an ""assigned to me"" toggle? Instructions on the MS website seem to be referencing a completely different version than the one I have. Utterly useless and frustrating.",granted i just downloaded the app but i have yet to find anything useful about it copy pasting in and then reorganizing a basic task list took me about a half hour seriously no drag and drop and i haven t been able to figure out how to share a task list with someone else if i can t share the task list why is there an assigned to me toggle instructions on the ms website seem to be referencing a completely different version than the one i have utterly useless and frustrating,Negative,0,Task management
can't edit or change anything,can t edit or change anything,Negative,9,Sync & login issues
I have an issue of widget stretching. Are there any debugs?,i have an issue of widget stretching are there any debugs,Neutral,11,Widget issues
"It's a very bad app because I changed the settings too , but the tree 🌲 would die everytime if I opened another app or turned off my phone",it s a very bad app because i changed the settings too but the tree would die everytime if i opened another app or turned off my phone,Negative,7,App stability & updates
"Great for tracking and encouraging habits, good clean layout that lets you see at a glance the info you need.",great for tracking and encouraging habits good clean layout that lets you see at a glance the info you need,Positive,5,Habit tracking
"I liked this app, even paid for it, but uninstalled it today due to weird behavior. I see two other reviews here with a similar problem. The app will periodically launch itself, but it's just a black screen, and it creates a copy of my home screen - looks the same but frozen until I hit the close button, then the copy scrolls away and I can again use my phone. Just odd.",i liked this app even paid for it but uninstalled it today due to weird behavior i see two other reviews here with a similar problem the app will periodically launch itself but it s just a black screen and it creates a copy of my home screen looks the same but frozen until i hit the close button then the copy scrolls away and i can again use my phone just odd,Negative,7,App stability & updates
"Fun and engaging way to track your goals and form better habits. I'm still not great at keeping up with it, but the app works well when I spend the time to pay attention to it.",fun and engaging way to track your goals and form better habits i m still not great at keeping up with it but the app works well when i spend the time to pay attention to it,Positive,8,General task/app praise
I have been using this application for 1 week. I am giving five stars to this application because after downloading this application I am getting my work done on time. I have benefited a lot from this application. People who want to do their work at certain times and change their lives. Do download this application.❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,i have been using this application for week i am giving five stars to this application because after downloading this application i am getting my work done on time i have benefited a lot from this application people who want to do their work at certain times and change their lives do download this application,Positive,8,General task/app praise
I have finally given up with this Application. Although it works ok on its own not being part of Outlook (calendar & mail) on my Andoid phone is a drag. If I put a To Do into my calendar I like to also add it to my to do list but having to run this as a second stand alone app is far from ideal. On my Windows phone it was integrated into Outlook as it is on the PC. Why isn't it part of Outlook?,i have finally given up with this application although it works ok on its own not being part of outlook calendar mail on my andoid phone is a drag if i put a to do into my calendar i like to also add it to my to do list but having to run this as a second stand alone app is far from ideal on my windows phone it was integrated into outlook as it is on the pc why isn t it part of outlook,Negative,10,Calendar integration
I was expecting it to sync Google reminders also from google calender. I use them a lot. It has so much to do but since it cannot sync reminders like how it does for events. It's not what I am looking for.,i was expecting it to sync google reminders also from google calender i use them a lot it has so much to do but since it cannot sync reminders like how it does for events it s not what i am looking for,Negative,10,Calendar integration
Sorry way to complicated. And why would you think I want my information out on your servers? Wanted to create a weekday event spent more time trying to figure out how to do that than it took to write in a diary.,sorry way to complicated and why would you think i want my information out on your servers wanted to create a weekday event spent more time trying to figure out how to do that than it took to write in a diary,Negative,10,Calendar integration
A frightfully creative and entertaining way getting your tasks done! 👍🏽,a frightfully creative and entertaining way getting your tasks done,Positive,5,Habit tracking
Terrible I'm sure I'm not the only one saying this but I'll add mine. It used to be a great app as wunderlist but is now terrible. I can only assume its intentional to force people elsewhere because there's some money to be made. An added recent quirk is it doubling any hylerlink in the notes whenever you close the keyboard ( a more insane quirk i couldn't dream up). Don't bother.,terrible i m sure i m not the only one saying this but i ll add mine it used to be a great app as wunderlist but is now terrible i can only assume its intentional to force people elsewhere because there s some money to be made an added recent quirk is it doubling any hylerlink in the notes whenever you close the keyboard a more insane quirk i couldn t dream up don t bother,Negative,7,App stability & updates
Great reminder for me! Love it,great reminder for me love it,Positive,4,Reminders & notifications
Looks like a pretty good app but it doesn't sync with Alexa. Which is the main reason I installed it. Shouldn't be this difficult.,looks like a pretty good app but it doesn t sync with alexa which is the main reason i installed it shouldn t be this difficult,Negative,2,General positive
widgets have disappeared?,widgets have disappeared,Positive,11,Widget issues
Why Do I have to sign In again even tho I did not even log out in the first place It is very Inconvenient for a to do list,why do i have to sign in again even tho i did not even log out in the first place it is very inconvenient for a to do list,Negative,9,Sync & login issues
"2nd Edited review: The app is worst for reminders since it takes many minutes to fire. Which simply means, the app is worthless. Now the customer service told me that I'm using a cheap device, when in fact it i m using a premium budget phone. Bulls**t customer service as well since they clearly can't take the blame like a real man/woman. Bunch of frauds n scammers tryna make their customer buy their failed invention. Go fu*k urself customer service! Good luck selling nud*s coz u failed it here!",nd edited review the app is worst for reminders since it takes many minutes to fire which simply means the app is worthless now the customer service told me that i m using a cheap device when in fact it i m using a premium budget phone bulls t customer service as well since they clearly can t take the blame like a real man woman bunch of frauds n scammers tryna make their customer buy their failed invention go fu k urself customer service good luck selling nud s coz u failed it here,Negative,4,Reminders & notifications
This is a great tool with a minimalist design. One feature I would be willing to go premium for is the ability to change task orders using drag and drop in the widget. That would take this to the next level.,this is a great tool with a minimalist design one feature i would be willing to go premium for is the ability to change task orders using drag and drop in the widget that would take this to the next level,Positive,0,Task management
"I had previous mentioned a glitch in the wedgit, it's been 5 months and was told that a team was working on the glitch. So far there has been no improvement. It's a good app without appropriate maintenance hence the bad review.",i had previous mentioned a glitch in the wedgit it s been months and was told that a team was working on the glitch so far there has been no improvement it s a good app without appropriate maintenance hence the bad review,Negative,7,App stability & updates
Notifications don't work,notifications don t work,Negative,4,Reminders & notifications
Good to have this as my memo,good to have this as my memo,Positive,3,Ease of use
Can not shut off notifications. They keep turning back on.,can not shut off notifications they keep turning back on,Negative,4,Reminders & notifications
"Overall i like this app, but i use it to make appointments, and it is very annoying that it won't link the name with the phone number frim the contacts automatically. You can do it manually, but it would be way quicker if it would link it automatically.",overall i like this app but i use it to make appointments and it is very annoying that it won t link the name with the phone number frim the contacts automatically you can do it manually but it would be way quicker if it would link it automatically,Neutral,8,General task/app praise
"Useless, ring bells only one time, and not a good reminder",useless ring bells only one time and not a good reminder,Negative,4,Reminders & notifications
Update: Used to be great. Now they've added so many steps it's no longer the simple app it used to be. Very disappointed.,update used to be great now they ve added so many steps it s no longer the simple app it used to be very disappointed,Negative,7,App stability & updates
It was really good at first and I loved it. But then the app was not working properly. So I had to uninstall it.,it was really good at first and i loved it but then the app was not working properly so i had to uninstall it,Negative,2,General positive
"I'm at awe how the tick tick guys keep managing to destroy a perfectly working app by having to redesign it every once in a while just for the sake of saying that they're keeping the app running. Now I can't delete the messages because it's almost barely visible once I push the three dots or lines on the tasks and there is no way to scroll the choices to see the delete option. Please, for the love of gods, don't work so hard to ruin a perfectly functioning software. I'd love to ask, just why?",i m at awe how the tick tick guys keep managing to destroy a perfectly working app by having to redesign it every once in a while just for the sake of saying that they re keeping the app running now i can t delete the messages because it s almost barely visible once i push the three dots or lines on the tasks and there is no way to scroll the choices to see the delete option please for the love of gods don t work so hard to ruin a perfectly functioning software i d love to ask just why,Negative,0,Task management
If i purchase pro version on my one phone and after a month i changed my mobile so after that can i use my previous pro version in new mobile,if i purchase pro version on my one phone and after a month i changed my mobile so after that can i use my previous pro version in new mobile,Positive,1,Premium / paywall friction
"Best app. Works perfect but giving 4 stars due to colour settings, whenever you try to change colour of tasks there is a problem that you touch a colour and it selects other colour like touch red colour it selects blue. This problem is in all colours.",best app works perfect but giving stars due to colour settings whenever you try to change colour of tasks there is a problem that you touch a colour and it selects other colour like touch red colour it selects blue this problem is in all colours,Positive,7,App stability & updates
its not like Loop Habits where i know i completed my habit this day. where are the statistics? give me the graphics,its not like loop habits where i know i completed my habit this day where are the statistics give me the graphics,Negative,5,Habit tracking
"Great app but why do you need 13 Ad trackers in this paid for pro app? Exodus privacy list 13 trackers against your app which is rediculous. Using this every day, but now concerned my every move is being tracked 13 times. Edit: You inform, so that makes it okay then, for you. Perhaps other more privacy focussed users should look elsewhere. How do I confirm the trackers are not used? Trust you, I bet.... 13 are for revenue, 1 will suffice for personalising.",great app but why do you need ad trackers in this paid for pro app exodus privacy list trackers against your app which is rediculous using this every day but now concerned my every move is being tracked times edit you inform so that makes it okay then for you perhaps other more privacy focussed users should look elsewhere how do i confirm the trackers are not used trust you i bet are for revenue will suffice for personalising,Negative,7,App stability & updates
"I have had a wonderful experience with this app. It has genuinely helped me keep track of things I need to do. It has help me gain structure in my life and I am really grateful for it. This is from a guy who doesn't even bother to use google agenda. Lol great app, good stuff and I hope they keep improving.",i have had a wonderful experience with this app it has genuinely helped me keep track of things i need to do it has help me gain structure in my life and i am really grateful for it this is from a guy who doesn t even bother to use google agenda lol great app good stuff and i hope they keep improving,Positive,8,General task/app praise
To hard to sign-in. Make it easier to sign in. I wasn't able to sign in or use the app. Uninstalled.,to hard to sign in make it easier to sign in i wasn t able to sign in or use the app uninstalled,Negative,9,Sync & login issues
"No way to change the font size, so most of my events just display as ""Meeting wi..."" which is basically useless. Can't even click on the event to see, I have to go to a different calendar app to see what I have to do. Which is the one thing a calendar widget should do for you.  Edit: in response to the creator's response to my comment, it IS important to keep in mind that this is a free app, with no possibility to upgrade, meaning this is not a professionally-developed app, so there should be no guarantee or expectation of quality. So if what you're looking for is a free app, then this might be a good app for you. However, if you're looking for a calendar/agenda app, then probably not.",no way to change the font size so most of my events just display as meeting wi which is basically useless can t even click on the event to see i have to go to a different calendar app to see what i have to do which is the one thing a calendar widget should do for you edit in response to the creator s response to my comment it is important to keep in mind that this is a free app with no possibility to upgrade meaning this is not a professionally developed app so there should be no guarantee or expectation of quality so if what you re looking for is a free app then this might be a good app for you however if you re looking for a calendar agenda app then probably not,Negative,10,Calendar integration
Very good reminder,very good reminder,Positive,4,Reminders & notifications
"It honestly saddens me to write this review. Habitica used to be an amazing app. I need it for all of my dailies and to-dos, but ever since the code was migrated, the app has been nigh unusable. At the moment I can't even login. When I finally manage to, my dailies and to-dos don't show up. It's a struggle to mark a daily as completed because it takes forever for the server to recognize that I tapped on the daily. Overall, this app needs to be reworked. I really hope things can be fixed because I want to keep using this app. Otherwise I'll have to find something else.",it honestly saddens me to write this review habitica used to be an amazing app i need it for all of my dailies and to dos but ever since the code was migrated the app has been nigh unusable at the moment i can t even login when i finally manage to my dailies and to dos don t show up it s a struggle to mark a daily as completed because it takes forever for the server to recognize that i tapped on the daily overall this app needs to be reworked i really hope things can be fixed because i want to keep using this app otherwise i ll have to find something else,Negative,7,App stability & updates
"Decent amount of functions, and I really like the widget for this app, but the free version is too limited to be useful. I would pay money for this app if it was for sale. But I am never going to pay for a subscription to a phone app, especially not a todo list app.",decent amount of functions and i really like the widget for this app but the free version is too limited to be useful i would pay money for this app if it was for sale but i am never going to pay for a subscription to a phone app especially not a todo list app,Negative,8,General task/app praise
The to do list should allow prioritizing tasks by importance and urgency. It would be great if you could add that.,the to do list should allow prioritizing tasks by importance and urgency it would be great if you could add that,Neutral,0,Task management
It it good but I couldn't do simple lists. They would be in one big catagory then in a sub list and it just wasn't the format I wanted,it it good but i couldn t do simple lists they would be in one big catagory then in a sub list and it just wasn t the format i wanted,Neutral,3,Ease of use
Works very well. Easy..practical..very good Game ads do pop up..its ok,works very well easy practical very good game ads do pop up its ok,Positive,6,Ads friction
Multi functional app for daily tasks routine,multi functional app for daily tasks routine,Positive,8,General task/app praise
"Best wunderlist replacement with one major flaw. As far as a to-do list app it is pretty decent and has what you would want. It is very tricky to figure out how to disable all of the random notifications this app sends you. That is my major complaint, but once you finally get it all disabled this app is decent. The layout is a little messy, but the smart grocery grouping is nice.",best wunderlist replacement with one major flaw as far as a to do list app it is pretty decent and has what you would want it is very tricky to figure out how to disable all of the random notifications this app sends you that is my major complaint but once you finally get it all disabled this app is decent the layout is a little messy but the smart grocery grouping is nice,Positive,8,General task/app praise
Very good performance 😊,very good performance,Positive,3,Ease of use
It is good but could be so much better with full Google Assistant integration...,it is good but could be so much better with full google assistant integration,Positive,8,General task/app praise
My experience gas been good so far 👌👌.,my experience gas been good so far,Positive,3,Ease of use
"So far I love it. Clear and simple to navigaye. Able to make my lists in cour coding. Also nice design, fir the creative.",so far i love it clear and simple to navigaye able to make my lists in cour coding also nice design fir the creative,Positive,3,Ease of use
Nice app but would like access to a calendar without paying premium price,nice app but would like access to a calendar without paying premium price,Neutral,10,Calendar integration
Whyd it log me out..... Edit: the push notifications dont push anymore,whyd it log me out edit the push notifications dont push anymore,Neutral,9,Sync & login issues
"best, but smtimes missing my notification, please make more reminder option, and more hard to rid it)",best but smtimes missing my notification please make more reminder option and more hard to rid it,Positive,4,Reminders & notifications
I did not get any app like this 😃,i did not get any app like this,Positive,2,General positive
Please remove the annoying and intrusive ads!!,please remove the annoying and intrusive ads,Negative,6,Ads friction
Good stuff. Finally got into learning chinese and russian,good stuff finally got into learning chinese and russian,Positive,3,Ease of use
"Nice up. The only problem is price. Prices are the same to first world and third world. They don't have option to poor countries only for the rich ones. They don't have even option to students. The product is good, but there's no equality. Sad.",nice up the only problem is price prices are the same to first world and third world they don t have option to poor countries only for the rich ones they don t have even option to students the product is good but there s no equality sad,Neutral,3,Ease of use
"App is great, but there is no sound or alarm to remind you of tasks. Popup is not enough, some kind of sound/songs is needed.",app is great but there is no sound or alarm to remind you of tasks popup is not enough some kind of sound songs is needed,Negative,4,Reminders & notifications
I love it but would it be possible to have a pause button in case the user diverts herself from the task by reason of bathroom breaks or any other just cause? I love it though. Thank you!,i love it but would it be possible to have a pause button in case the user diverts herself from the task by reason of bathroom breaks or any other just cause i love it though thank you,Positive,0,Task management
"Annoying backup system. I've had installed this app and logged in with Google account once. I also tried some of the app's features, but I uninstalled again because of reasons. After some times, I decided to install it again. So I made my tasks and the others without logging in first (because I forgot). Then, when I logged in with my Google account after that, it replace my current data with the older one without warning. Now all my newly created, more complete data is all gone.",annoying backup system i ve had installed this app and logged in with google account once i also tried some of the app s features but i uninstalled again because of reasons after some times i decided to install it again so i made my tasks and the others without logging in first because i forgot then when i logged in with my google account after that it replace my current data with the older one without warning now all my newly created more complete data is all gone,Negative,9,Sync & login issues
This app has started to give me full screen pop up ads,this app has started to give me full screen pop up ads,Negative,6,Ads friction
Prefer wunderlist! This is a sad adaptation and should have never replaced an app that worked so well.,prefer wunderlist this is a sad adaptation and should have never replaced an app that worked so well,Negative,7,App stability & updates
"It will ruin your plan, you are going to waste your time customizing it. Downloading this app will increase your screen time and degrade your efficiency.",it will ruin your plan you are going to waste your time customizing it downloading this app will increase your screen time and degrade your efficiency,Negative,7,App stability & updates
I like this app. It is the most simple and straight forward of its type that I've found.,i like this app it is the most simple and straight forward of its type that i ve found,Positive,2,General positive
Great app helps me to structure my day and not be lazy,great app helps me to structure my day and not be lazy,Positive,8,General task/app praise
Used this app for years but the recent addition of full screen ads is too annoying. Small banner ads or something similar would be much more appropriate for a calendar app. Why would I want to look at an ad for half a minute when it should only take 5 seconds to add an appointment?,used this app for years but the recent addition of full screen ads is too annoying small banner ads or something similar would be much more appropriate for a calendar app why would i want to look at an ad for half a minute when it should only take seconds to add an appointment,Negative,6,Ads friction
Useful easy to use and fulfil my needs But i still didn't experience it's use in sharing or groups,useful easy to use and fulfil my needs but i still didn t experience it s use in sharing or groups,Neutral,3,Ease of use
"This has many of the same features of the schedule app I already use, but is missing some key features. I see the paid version will allow me to repeat tasks but will it allow me to make drag and drop adjustments to my schedule. If so, then it would be worth the investment and a better review.",this has many of the same features of the schedule app i already use but is missing some key features i see the paid version will allow me to repeat tasks but will it allow me to make drag and drop adjustments to my schedule if so then it would be worth the investment and a better review,Negative,8,General task/app praise
It's pretty simple and there are discussion boards where other people share their experience on similar experiences.,it s pretty simple and there are discussion boards where other people share their experience on similar experiences,Positive,3,Ease of use
Facebook login not working,facebook login not working,Neutral,9,Sync & login issues
Simple & effective. I've used this a lot over the past few years & found it extremely helpful. Strongly recommend.,simple effective i ve used this a lot over the past few years found it extremely helpful strongly recommend,Positive,3,Ease of use
"Very nice UI, but need some work. 1) First week day (Monday/Sunday) option in Calendar; 2) Calendar should show tasks/habits below Calendar instead of when touching the selected day only (this makes you feel you have nothing the whole day/mont)... Add this and app will be more solid... And I may jump into Premium! Keep it up!",very nice ui but need some work first week day monday sunday option in calendar calendar should show tasks habits below calendar instead of when touching the selected day only this makes you feel you have nothing the whole day mont add this and app will be more solid and i may jump into premium keep it up,Positive,10,Calendar integration
"This is very good app but I have to get premium get access to work essential apps, overall very good",this is very good app but i have to get premium get access to work essential apps overall very good,Positive,2,General positive
"I have to add tasks daily again and again, i don't know why i have to add them again even if i have selected them to repeat daily, all else is good, appreciate the efforts",i have to add tasks daily again and again i don t know why i have to add them again even if i have selected them to repeat daily all else is good appreciate the efforts,Neutral,0,Task management
"Nice, exactly what I needed",nice exactly what i needed,Positive,3,Ease of use
Mixed great app but don't by premium. Won't work without play services and developer unresponsive,mixed great app but don t by premium won t work without play services and developer unresponsive,Negative,1,Premium / paywall friction
"Installed this app, added the tasks, logged in using google in the same order. But after login the tasks added no more found. This is definitely unacceptable.",installed this app added the tasks logged in using google in the same order but after login the tasks added no more found this is definitely unacceptable,Negative,0,Task management
Great app to keep on top of life!,great app to keep on top of life,Positive,2,General positive
The app is perfect for people trying to get more organized it's easy to use and I use it all the time for homework or workouts the only tiny problem is that it has some locked features that u have to pay for,the app is perfect for people trying to get more organized it s easy to use and i use it all the time for homework or workouts the only tiny problem is that it has some locked features that u have to pay for,Positive,8,General task/app praise
Keeps me on track,keeps me on track,Positive,5,Habit tracking
It's good..,it s good,Neutral,3,Ease of use
I think the app with a time table for sorting tasks will become more useful .,i think the app with a time table for sorting tasks will become more useful,Positive,8,General task/app praise
"Awesome App, 1) if you could add undo feature : if we make any changes to the todo unexpectedly and press back then it saves it and we cannot find what was the original memo.",awesome app if you could add undo feature if we make any changes to the todo unexpectedly and press back then it saves it and we cannot find what was the original memo,Positive,0,Task management
"The app is great, but there some glitches and ways to access other apps, also there should be an option for creating a list of apps that you want open during the session, like calculator or any other useful, or the other person wants to use.",the app is great but there some glitches and ways to access other apps also there should be an option for creating a list of apps that you want open during the session like calculator or any other useful or the other person wants to use,Positive,2,General positive
Difficult to use,difficult to use,Neutral,3,Ease of use
I've never enjoyed accountability before this... Our whole family partied up and is having a blast PLAYING to do chores. Wonderful concept!,i ve never enjoyed accountability before this our whole family partied up and is having a blast playing to do chores wonderful concept,Positive,5,Habit tracking
I like the app. Easy to use and organize. I just wished there was a way to turn the spell check off in it. It's miserable trying to type non-European style names in it.,i like the app easy to use and organize i just wished there was a way to turn the spell check off in it it s miserable trying to type non european style names in it,Positive,8,General task/app praise
Really weird formatting? I'm trying to be MORE organized not get a brain workout trying to figure out an app,really weird formatting i m trying to be more organized not get a brain workout trying to figure out an app,Negative,8,General task/app praise
The notification stopped after some time,the notification stopped after some time,Negative,4,Reminders & notifications
"I really enjoyed the app before the update. It was motivating to see different trees at one place. After the update, I can't buy the trees that I previously could:(",i really enjoyed the app before the update it was motivating to see different trees at one place after the update i can t buy the trees that i previously could,Neutral,7,App stability & updates
All my tasks are gone and unable to load anything.,all my tasks are gone and unable to load anything,Neutral,0,Task management
